"Subject"	"Survey"	"Notification.Status"	"Afraid"	"Scared"	"Nervous"	"Jittery"	"Irritable"	"Hostile"	"Guilty"	"Ashamed"	"Upset"	"Distressed"	"Active"	"Alert"	"Attentive"	"Determined"	"Excited"	"Inspired"	"Proud"	"Strong"	"Anxious"	"Worried"	"Restless"	"Depressed"	"Sad"	"Lonely"	"DiscrimCheck"	"DiscrimCheck_Type"	"DiscrimCheck_Other"	"DiscrimCheck_CategoryCode"	"DiscrimCheck_Time"	"DiscrimCheck_Cause"	"DiscrimCheck_PerpGender"	"DiscrimCheck_PerpRace"	"DiscrimCheck_PerpCategory"	"Date.Time.R"	"StartTime"	"diffTime"	"DayStudy"	"DayWeek"	"Occasion"	"PA_agg"	"NA_agg"	"Dep_agg"	"Anx_agg"	"PA_agg_nextPrompt"	"NA_agg_nextPrompt"	"Dep_agg_nextPrompt"	"Anx_agg_nextPrompt"	"PA_agg_prevPrompt"	"NA_agg_prevPrompt"	"Dep_agg_prevPrompt"	"Anx_agg_prevPrompt"	"DiscrimCheck.d"	"DayWeek.d"
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	2	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/13/18 10:43"	"10/9/18 0:00"	106.7258333	5	"Saturday"	11	4	1	1	1.33	3.88	1	1	1.33	NA	NA	NA	NA	0	5
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	4	4	4	4	4	4	4	2	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/13/18 14:14"	"10/9/18 0:00"	110.2480556	5	"Saturday"	12	3.88	1	1	1.33	3.88	1.1	1	1.33	4	1	1	1.33	0	5
1	"Random Prompt Survey"	"taken"	1	1	2	1	1	1	1	1	1	1	3	4	4	4	4	4	4	4	2	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/13/18 18:07"	"10/9/18 0:00"	114.1316667	5	"Saturday"	13	3.88	1.1	1	1.33	NA	NA	NA	NA	3.88	1	1	1.33	0	5
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	4	4	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/14/18 18:54"	"10/9/18 0:00"	138.9138889	6	"Sunday"	14	3.88	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0	6
1	"Random Prompt Survey"	"taken"	1	1	2	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	2	2	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/15/18 18:01"	"10/9/18 0:00"	162.0241667	7	"Monday"	15	4	1.1	1	1.67	NA	NA	NA	NA	NA	NA	NA	NA	0	0
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	3	4	4	3	3	3	3	1	1	1	1	1	2	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/16/18 17:58"	"10/9/18 0:00"	185.9819444	8	"Tuesday"	16	3.38	1	1.33	1	NA	NA	NA	NA	NA	NA	NA	NA	0	1
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	4	3	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/17/18 9:10"	"10/9/18 0:00"	201.1680556	9	"Wednesday"	17	3.12	1	1	1	3	1	1	1.33	NA	NA	NA	NA	0	2
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	2	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/17/18 13:35"	"10/9/18 0:00"	205.5955556	9	"Wednesday"	18	3	1	1	1.33	3.5	1	1	1	3.12	1	1	1	0	2
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	2	3	3	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/17/18 17:57"	"10/9/18 0:00"	209.9602778	9	"Wednesday"	19	3.5	1	1	1	NA	NA	NA	NA	3	1	1	1.33	0	2
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	4	3	2	3	3	1	1	1	1	1	2	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/18/18 20:59"	"10/9/18 0:00"	236.9872222	10	"Thursday"	20	3	1	1.33	1	NA	NA	NA	NA	NA	NA	NA	NA	0	3
1	"Random Prompt Survey"	"taken"	1	1	2	2	1	1	1	1	1	1	3	4	3	3	3	3	3	3	2	2	1	1	1	2	"Yes"	"12"	NA	5	"13:00"	"3"	1	"2"	3	"10/19/18 14:04"	"10/9/18 0:00"	254.0755556	11	"Friday"	21	3.12	1.2	1.33	1.67	4	1	1	1	NA	NA	NA	NA	1	4
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/19/18 20:51"	"10/9/18 0:00"	260.8575	11	"Friday"	22	4	1	1	1	NA	NA	NA	NA	3.12	1.2	1.33	1.67	0	4
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	3	4	4	4	4	4	3	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/20/18 9:47"	"10/9/18 0:00"	273.79	12	"Saturday"	23	3.75	1	1	1	4	1	1	1	NA	NA	NA	NA	0	5
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/20/18 16:12"	"10/9/18 0:00"	280.2022222	12	"Saturday"	24	4	1	1	1	3.75	1	1	1	3.75	1	1	1	0	5
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	3	3	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/20/18 20:02"	"10/9/18 0:00"	284.0397222	12	"Saturday"	25	3.75	1	1	1	NA	NA	NA	NA	4	1	1	1	0	5
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	4	3	4	4	3	3	3	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/21/18 10:07"	"10/9/18 0:00"	298.1311111	13	"Sunday"	26	3.38	1	1	1	3.25	1	1	1	NA	NA	NA	NA	0	6
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	4	3	3	3	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/21/18 15:50"	"10/9/18 0:00"	303.8438889	13	"Sunday"	27	3.25	1	1	1	NA	NA	NA	NA	3.38	1	1	1	0	6
1	"Random Prompt Survey"	"taken"	2	1	2	1	3	3	1	1	3	2	2	3	3	2	2	2	2	3	2	2	1	1	3	2	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/22/18 9:35"	"10/9/18 0:00"	321.5872222	14	"Monday"	28	2.38	1.9	2	1.67	3.25	1.2	1	1.33	NA	NA	NA	NA	0	0
1	"Random Prompt Survey"	"taken"	1	1	2	2	1	1	1	1	1	1	3	4	4	4	2	3	3	3	2	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/22/18 15:28"	"10/9/18 0:00"	327.4691667	14	"Monday"	29	3.25	1.2	1	1.33	3.62	1	1	1	2.38	1.9	2	1.67	0	0
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	3	3	4	3	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/22/18 20:28"	"10/9/18 0:00"	332.4827778	14	"Monday"	30	3.62	1	1	1	NA	NA	NA	NA	3.25	1.2	1	1.33	0	0
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	3	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/23/18 9:13"	"10/9/18 0:00"	345.2319444	15	"Tuesday"	31	3.88	1	1	1	3.38	1	1	1	NA	NA	NA	NA	0	1
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	4	4	3	3	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/23/18 21:43"	"10/9/18 0:00"	357.7163889	15	"Tuesday"	32	3.38	1	1	1	NA	NA	NA	NA	3.88	1	1	1	0	1
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/24/18 14:40"	"10/9/18 0:00"	374.6813889	16	"Wednesday"	33	4	1	1	1	3.88	1	1	1	NA	NA	NA	NA	0	2
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	4	4	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/24/18 17:01"	"10/9/18 0:00"	377.0319444	16	"Wednesday"	34	3.88	1	1	1	NA	NA	NA	NA	4	1	1	1	0	2
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	3	3	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/25/18 10:26"	"10/9/18 0:00"	394.4375	17	"Thursday"	35	3.75	1	1	1	3.38	1	1	1	NA	NA	NA	NA	0	3
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	4	4	3	3	4	3	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/25/18 21:12"	"10/9/18 0:00"	405.2033333	17	"Thursday"	36	3.38	1	1	1	NA	NA	NA	NA	3.75	1	1	1	0	3
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	3	4	3	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/26/18 10:21"	"10/9/18 0:00"	418.3572222	18	"Friday"	37	3.75	1	1	1	3.5	1.2	1	1.67	NA	NA	NA	NA	0	4
1	"Random Prompt Survey"	"taken"	1	1	2	1	1	1	1	2	1	1	3	4	4	4	3	3	3	4	2	2	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/26/18 13:55"	"10/9/18 0:00"	421.9325	18	"Friday"	38	3.5	1.2	1	1.67	3.25	1.2	1	1.67	3.75	1	1	1	0	4
1	"Random Prompt Survey"	"taken"	1	1	2	1	2	1	1	1	1	1	3	3	3	4	4	3	3	3	2	2	1	1	1	1	"Yes"	"0"	NA	5	"20:55"	"2"	1	"0"	5	"10/26/18 21:21"	"10/9/18 0:00"	429.3605556	18	"Friday"	39	3.25	1.2	1	1.67	NA	NA	NA	NA	3.5	1.2	1	1.67	1	4
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	3	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/27/18 12:32"	"10/9/18 0:00"	444.5397222	19	"Saturday"	40	3.88	1	1	1	4.12	1	1	1	NA	NA	NA	NA	0	5
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	5	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/27/18 15:31"	"10/9/18 0:00"	447.5313889	19	"Saturday"	41	4.12	1	1	1	4	1	1	1	3.88	1	1	1	0	5
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/27/18 20:29"	"10/9/18 0:00"	452.4966667	19	"Saturday"	42	4	1	1	1	NA	NA	NA	NA	4.12	1	1	1	0	5
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/28/18 15:13"	"10/9/18 0:00"	471.2222222	20	"Sunday"	43	4	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0	6
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	4	3	3	3	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/29/18 14:45"	"10/9/18 0:00"	494.755	21	"Monday"	44	3.38	1	1	1	3.5	1	1	1	NA	NA	NA	NA	0	0
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	3	3	3	3	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/29/18 21:05"	"10/9/18 0:00"	501.0844444	21	"Monday"	45	3.5	1	1	1	NA	NA	NA	NA	3.38	1	1	1	0	0
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	4	4	3	3	3	3	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/30/18 10:02"	"10/9/18 0:00"	514.0469444	22	"Tuesday"	46	3.38	1	1	1	3.88	1	1	1	NA	NA	NA	NA	0	1
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	3	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/30/18 16:15"	"10/9/18 0:00"	520.2619444	22	"Tuesday"	47	3.88	1	1	1	3.25	1	1	1	3.38	1	1	1	0	1
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	4	3	3	3	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/30/18 19:05"	"10/9/18 0:00"	523.0983333	22	"Tuesday"	48	3.25	1	1	1	NA	NA	NA	NA	3.88	1	1	1	0	1
1	"Random Prompt Survey"	"taken"	1	1	2	1	1	1	1	1	1	1	3	4	4	4	3	3	3	4	1	2	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/31/18 16:17"	"10/9/18 0:00"	544.2894444	23	"Wednesday"	49	3.5	1.1	1	1.33	3.25	1	1	1	NA	NA	NA	NA	0	2
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	4	3	4	3	3	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/31/18 18:56"	"10/9/18 0:00"	546.9372222	23	"Wednesday"	50	3.25	1	1	1	NA	NA	NA	NA	3.5	1.1	1	1.33	0	2
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	1	3	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/1/18 16:30"	"10/9/18 0:00"	568.515	24	"Thursday"	51	3.5	1	1	1	3.38	1	1	1	NA	NA	NA	NA	0	3
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	4	3	4	4	3	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/1/18 18:46"	"10/9/18 0:00"	570.7827778	24	"Thursday"	52	3.38	1	1	1	NA	NA	NA	NA	3.5	1	1	1	0	3
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/2/18 15:06"	"10/9/18 0:00"	591.1033333	25	"Friday"	53	3.62	1	1	1	3.25	1	1	1	NA	NA	NA	NA	0	4
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	4	3	4	3	3	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/2/18 20:29"	"10/9/18 0:00"	596.4958333	25	"Friday"	54	3.25	1	1	1	NA	NA	NA	NA	3.62	1	1	1	0	4
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/3/18 16:15"	"10/9/18 0:00"	616.2558333	26	"Saturday"	55	4	1	1	1	4	1	1	1	NA	NA	NA	NA	0	5
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/3/18 18:06"	"10/9/18 0:00"	618.1044444	26	"Saturday"	56	4	1	1	1	NA	NA	NA	NA	4	1	1	1	0	5
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/4/18 12:32"	"10/9/18 0:00"	637.5441667	27	"Sunday"	57	4	1	1	1	4	1	1	1	NA	NA	NA	NA	0	6
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/4/18 15:11"	"10/9/18 0:00"	640.1980556	27	"Sunday"	58	4	1	1	1	3.75	1.1	1	1.33	4	1	1	1	0	6
1	"Random Prompt Survey"	"taken"	1	1	2	1	1	1	1	1	1	1	3	4	4	4	3	4	4	4	1	2	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/4/18 19:22"	"10/9/18 0:00"	644.38	27	"Sunday"	59	3.75	1.1	1	1.33	NA	NA	NA	NA	4	1	1	1	0	6
1	"Random Prompt Survey"	"taken"	3	4	4	3	2	2	1	1	3	3	3	4	4	4	3	4	4	3	4	4	1	2	5	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/5/18 12:38"	"10/9/18 0:00"	661.6363889	28	"Monday"	60	3.62	2.6	2.67	3	3.25	1.4	1.33	1.33	NA	NA	NA	NA	0	0
1	"Random Prompt Survey"	"taken"	1	1	1	1	3	1	1	1	2	2	3	4	4	3	3	3	3	3	1	2	1	1	2	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/5/18 14:32"	"10/9/18 0:00"	663.5472222	28	"Monday"	61	3.25	1.4	1.33	1.33	3.38	1	1	1	3.62	2.6	2.67	3	0	0
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	4	3	3	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"11/5/18 20:58"	"10/9/18 0:00"	669.9780556	28	"Monday"	62	3.38	1	1	1	NA	NA	NA	NA	3.25	1.4	1.33	1.33	0	0
2	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	3	4	4	1	1	1	2	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/9/18 12:16"	"10/9/18 0:00"	12.2725	1	"Tuesday"	1	2.5	1	1	1	2.25	1.6	1	2.33	NA	NA	NA	NA	0	1
2	"Random Prompt Survey"	"taken"	2	2	2	1	2	1	1	1	1	3	5	4	1	3	1	1	1	2	2	3	2	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/9/18 13:38"	"10/9/18 0:00"	13.63305556	1	"Tuesday"	2	2.25	1.6	1	2.33	NA	NA	NA	NA	2.5	1	1	1	0	1
2	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	3	1	1	1	1	1	2	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/10/18 13:22"	"10/9/18 0:00"	37.36888889	2	"Wednesday"	3	2.75	1	1	1.33	3	1	1	1	NA	NA	NA	NA	0	2
2	"Random Prompt Survey"	"taken"	1	NA	1	1	NA	1	1	1	1	NA	NA	4	4	NA	NA	1	NA	NA	NA	NA	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/10/18 19:25"	"10/9/18 0:00"	43.4275	2	"Wednesday"	4	3	1	1	1	NA	NA	NA	NA	2.75	1	1	1.33	0	2
2	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	5	4	4	4	3	2	1	1	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/11/18 14:46"	"10/9/18 0:00"	62.76944444	3	"Thursday"	5	3	1	1	1	2.38	1	1	1	NA	NA	NA	NA	0	3
2	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	2	1	1	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/11/18 20:42"	"10/9/18 0:00"	68.70194444	3	"Thursday"	6	2.38	1	1	1	NA	NA	NA	NA	3	1	1	1	0	3
2	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	3	3	3	2	4	1	1	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/12/18 12:34"	"10/9/18 0:00"	84.57888889	4	"Friday"	7	2.62	1	1	1	1	1	1	1	NA	NA	NA	NA	0	4
2	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/12/18 17:44"	"10/9/18 0:00"	89.73694444	4	"Friday"	8	1	1	1	1	NA	NA	NA	NA	2.62	1	1	1	0	4
2	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/13/18 9:16"	"10/9/18 0:00"	105.2808333	5	"Saturday"	9	1.12	1	1	1	1.88	1	1	1	NA	NA	NA	NA	0	5
2	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	1	2	1	1	1	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/13/18 14:54"	"10/9/18 0:00"	110.9058333	5	"Saturday"	10	1.88	1	1	1	2.12	1	1	1	1.12	1	1	1	0	5
2	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	2	3	2	1	3	1	4	1	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/13/18 20:16"	"10/9/18 0:00"	116.2683333	5	"Saturday"	11	2.12	1	1	1	NA	NA	NA	NA	1.88	1	1	1	0	5
2	"Random Prompt Survey"	"taken"	2	2	2	1	1	1	2	2	1	1	4	4	4	2	1	1	1	1	3	3	1	1	3	2	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/14/18 15:57"	"10/9/18 0:00"	135.9525	6	"Sunday"	12	2.25	1.5	2	2.33	2.25	1	1.33	1	NA	NA	NA	NA	0	6
